Transaction_ID,Customer_Name,DOB,Purchase_Date,Amount,Category,Age
1035,Jane Smith,1964-07-27,2023-06-09,16.72,Groceries,62
1036,Stefan Salvatore,1991-06-14,2023-10-21,96.68,Beauty,35
1037,Elena Gilbert,1986-06-30,2023-05-24,386.36,Electronics,40
1038,Matt Donovan,2002-03-09,2023-09-16,52.26,Groceries,24
1039,Alice White,1989-03-15,2023-05-27,98.55,Groceries,37
1040,Alice White,1967-10-25,2023-02-08,254.56,Clothing,59
1041,Matt Donovan,1980-09-28,2024-02-19,92.22,Clothing,46
1042,Tyler Lockwood,1992-03-14,2023-04-22,1081.61,Electronics,34
1043,John Doe,2006-04-22,2023-09-11,85.95,Groceries,20
1044,Matt Donovan,1999-07-04,2023-04-09,739.66,Home,27
1045,Bob Brown,1988-09-25,2023-02-23,1319.86,Electronics,38
1046,Matt Donovan,2000-11-09,2023-12-06,403.67,Home,26
1047,Bonnie Bennett,1973-09-28,2023-12-15,65.03,Clothing,53
1048,Jane Smith,2006-04-16,2023-06-12,37.52,Beauty,20
1049,John Doe,2004-05-07,2024-02-02,30.93,Beauty,22
1050,Stefan Salvatore,2000-10-09,2023-07-14,685.32,Electronics,26
1051,Tyler Lockwood,1987-02-03,2023-08-26,75.58,Beauty,39
1052,Stefan Salvatore,1982-01-30,2023-08-14,77.88,Beauty,44
1053,Tyler Lockwood,1975-04-17,2023-10-31,593.4,Home,51
1054,John Doe,1991-09-05,2023-08-08,45.54,Beauty,35
1055,Elena Gilbert,1973-07-10,2023-02-06,67.09,Beauty,53
1056,Charlie Black,1977-11-20,2023-07-07,243.16,Electronics,49
1057,Alaric Saltzman,1987-09-17,2023-09-13,211.02,Home,39
1058,Bonnie Bennett,1966-07-22,2023-02-23,280.4,Clothing,60
1059,Stefan Salvatore,1976-03-22,2023-05-31,91.17,Clothing,50
1060,Caroline Forbes,2006-05-23,2023-04-14,359.58,Electronics,20
1061,Elena Gilbert,1969-09-12,2023-09-04,246.83,Clothing,57
1062,Bonnie Bennett,1985-02-12,2023-11-12,21.45,Clothing,41
1063,Alice White,1964-02-11,2023-11-17,133.56,Groceries,62
1064,Tyler Lockwood,1974-04-12,2023-10-15,492.32,Home,52
1065,Alaric Saltzman,1986-04-17,2023-02-27,170.96,Electronics,40
1066,Elena Gilbert,1993-12-31,2024-03-19,80.73,Beauty,33
1067,Charlie Black,1964-11-14,2023-01-05,127.09,Groceries,62
1068,Alice White,1979-01-11,2023-12-21,24.25,Groceries,47
1069,Jane Smith,1966-09-25,2023-05-27,857.76,Electronics,60
1070,Bob Brown,1980-12-30,2024-03-14,27.1,Clothing,46
1071,Charlie Black,1985-10-21,2024-01-28,64.3,Groceries,41
1072,Caroline Forbes,2007-06-26,2023-10-17,1354.38,Electronics,19
1073,Charlie Black,2007-05-24,2023-07-08,93.7,Beauty,19
1074,Damon Salvatore,2005-12-06,2023-06-03,769.95,Home,21
1075,Bonnie Bennett,1979-07-22,2023-03-10,691.69,Electronics,47
1076,Alice White,2003-08-01,2024-02-04,233.74,Clothing,23
1077,Charlie Black,1969-11-21,2023-10-16,62.78,Beauty,57
1078,Caroline Forbes,2003-11-13,2023-10-17,59.32,Groceries,23
1079,Caroline Forbes,1989-11-20,2023-09-14,104.17,Beauty,37
1080,Stefan Salvatore,1992-06-21,2023-09-15,1747.68,Electronics,34
1081,Matt Donovan,1988-09-25,2024-01-31,180.54,Clothing,38
1082,John Doe,1975-09-02,2024-03-02,95.76,Beauty,51
1083,John Doe,1975-09-13,2023-11-26,236.0,Home,51
1084,Alaric Saltzman,1996-11-19,2023-10-29,30.91,Clothing,30
1085,Jane Smith,1973-07-28,2023-12-03,109.31,Clothing,53
1086,Caroline Forbes,1998-11-24,2024-02-22,317.76,Home,28
1087,Alice White,1963-12-18,2024-02-17,65.6,Groceries,63
1088,Alaric Saltzman,1972-03-08,2024-02-12,990.98,Home,54
1089,Alice White,1990-11-20,2023-06-01,39.6,Beauty,36
1090,Damon Salvatore,1995-05-20,2023-08-05,147.97,Home,31
1091,John Doe,1988-07-22,2023-12-08,134.85,Beauty,38
1092,John Doe,1972-07-10,2024-02-07,56.46,Groceries,54
1093,Tyler Lockwood,1994-07-15,2024-01-19,88.15,Groceries,32
1094,Charlie Black,2003-11-14,2024-01-31,1152.04,Electronics,23
1095,Charlie Black,1973-01-06,2023-05-31,315.58,Electronics,53
1096,Charlie Black,1966-08-28,2024-02-27,143.63,Clothing,60
1097,Damon Salvatore,1979-07-07,2023-11-27,291.22,Clothing,47
1098,Bonnie Bennett,1998-06-14,2023-08-18,37.27,Beauty,28
1099,Bonnie Bennett,1981-10-27,2023-07-13,79.43,Beauty,45
1100,Elena Gilbert,1989-10-11,2023-12-31,1772.68,Electronics,37
1101,John Doe,2001-07-19,2023-10-28,55.78,Groceries,25
1102,Tyler Lockwood,1977-05-28,2024-03-20,85.97,Groceries,49
1103,Matt Donovan,1998-03-13,2023-01-19,291.0,Home,28
1104,Jane Smith,1980-10-23,2023-02-27,22.23,Groceries,46
1105,Alaric Saltzman,1968-02-29,2024-01-22,39.44,Beauty,58
1106,Bonnie Bennett,1983-04-20,2024-02-21,144.67,Beauty,43
1107,Tyler Lockwood,1963-09-24,2023-06-22,51.79,Beauty,63
1108,Elena Gilbert,1987-08-06,2023-09-09,41.68,Beauty,39
1109,Bob Brown,1989-01-08,2023-08-21,1421.92,Electronics,37
1110,John Doe,2005-09-29,2024-03-16,316.92,Home,21
1111,Stefan Salvatore,1970-09-26,2024-01-08,72.67,Clothing,56
1112,Caroline Forbes,2000-08-19,2023-11-12,94.46,Clothing,26
1113,Charlie Black,1967-07-17,2023-07-11,713.25,Home,59
1114,John Doe,1999-07-25,2023-08-08,24.31,Beauty,27
1115,Bob Brown,2002-12-01,2024-01-06,93.95,Beauty,24
1116,Jane Smith,1998-04-16,2023-10-13,174.44,Clothing,28
1117,Charlie Black,1975-12-25,2023-05-26,815.8,Electronics,51
1118,Caroline Forbes,1983-03-21,2023-11-11,590.63,Home,43
1119,John Doe,1974-11-15,2023-04-09,125.98,Electronics,52
1120,Damon Salvatore,2002-08-08,2023-12-17,149.51,Beauty,24
1121,Charlie Black,1986-01-03,2023-06-14,257.9,Clothing,40
1122,John Doe,1987-12-09,2024-01-01,1912.7,Electronics,39
1123,Alaric Saltzman,2004-05-08,2023-02-03,43.96,Groceries,22
1124,Damon Salvatore,1982-06-21,2023-06-11,544.16,Home,44
1125,Tyler Lockwood,2007-12-28,2023-08-24,17.82,Beauty,19
1126,Matt Donovan,1991-11-04,2023-09-12,94.94,Beauty,35
1127,Jane Smith,1997-11-11,2024-02-26,147.17,Groceries,29
1128,Jane Smith,1974-03-27,2023-10-13,136.45,Home,52
1129,Jane Smith,1970-03-31,2023-01-30,261.46,Clothing,56
1130,Charlie Black,1979-10-12,2023-07-03,1035.02,Electronics,47
1131,Tyler Lockwood,1988-12-17,2023-02-03,55.37,Beauty,38
1132,Matt Donovan,1965-07-05,2024-01-06,974.23,Electronics,61
1133,Matt Donovan,1993-02-15,2024-01-23,55.12,Groceries,33
1134,Bob Brown,1976-08-16,2023-06-04,146.1,Beauty,50
1135,Alaric Saltzman,1989-05-23,2023-01-05,98.01,Clothing,37
1136,Alaric Saltzman,1986-04-05,2023-01-01,71.81,Beauty,40
1137,Caroline Forbes,1963-01-28,2024-03-08,213.31,Clothing,63
1138,Bonnie Bennett,1982-06-22,2023-02-16,1406.79,Electronics,44
1139,Stefan Salvatore,1978-11-12,2023-11-15,5.38,Beauty,48
1140,Alice White,2008-02-12,2023-04-23,225.29,Home,18
1141,Stefan Salvatore,1987-02-11,2023-01-28,229.29,Clothing,39
1142,Matt Donovan,2002-02-18,2023-04-21,555.51,Home,24
1143,Alaric Saltzman,1990-05-06,2023-08-15,280.35,Home,36
1144,Bonnie Bennett,1972-02-01,2023-07-21,1697.35,Electronics,54
1145,Elena Gilbert,1982-10-23,2023-10-27,1792.0,Electronics,44
1146,Alice White,1983-12-20,2024-01-29,666.38,Home,43
1147,Jane Smith,1972-11-09,2023-02-03,1172.47,Electronics,54
1148,Caroline Forbes,1967-11-21,2023-01-06,98.66,Groceries,59
1149,Jane Smith,1963-07-17,2024-01-12,114.32,Electronics,63
1150,Charlie Black,2002-12-13,2023-04-22,128.37,Groceries,24
1151,Stefan Salvatore,1999-06-20,2024-01-22,67.33,Home,27
1152,Charlie Black,1972-07-20,2023-01-06,181.28,Clothing,54
1153,Matt Donovan,2004-03-22,2023-05-14,1032.42,Electronics,22
1154,Elena Gilbert,2006-03-22,2023-07-22,98.39,Clothing,20
1155,Tyler Lockwood,2003-04-01,2024-02-14,66.69,Groceries,23
1156,John Doe,1988-11-03,2023-05-20,1260.18,Electronics,38
1157,Elena Gilbert,1971-10-13,2023-12-22,82.23,Beauty,55
1158,John Doe,2002-08-27,2023-01-10,14.19,Beauty,24
1159,Tyler Lockwood,2007-02-07,2023-06-17,44.6,Clothing,19
1160,Charlie Black,1999-05-25,2023-09-22,499.51,Home,27
1161,Elena Gilbert,1973-11-26,2023-04-05,1716.38,Electronics,53
1162,Tyler Lockwood,1964-04-02,2024-01-08,941.42,Home,62
1163,Tyler Lockwood,1974-01-24,2023-01-01,127.07,Groceries,52
1164,Stefan Salvatore,1997-02-26,2023-08-17,28.73,Groceries,29
1165,Charlie Black,1972-02-24,2023-12-05,652.07,Home,54
1166,Alice White,1983-07-04,2023-02-11,1397.67,Electronics,43
1167,Stefan Salvatore,1969-11-17,2023-01-14,642.9,Home,57
1168,John Doe,1985-12-24,2023-05-23,541.2,Electronics,41
1169,John Doe,2006-04-17,2023-04-14,565.71,Home,20
1170,Elena Gilbert,2002-12-16,2024-01-26,368.16,Home,24
1171,Alice White,1993-11-04,2023-06-06,1113.58,Electronics,33
1172,Damon Salvatore,1981-09-22,2023-02-07,692.27,Electronics,45
1173,Charlie Black,1981-05-13,2023-09-11,87.63,Groceries,45
1174,Caroline Forbes,2003-10-21,2023-11-26,295.54,Electronics,23
1175,Alaric Saltzman,1977-04-30,2023-08-16,23.49,Beauty,49
1176,Stefan Salvatore,1993-09-19,2023-05-16,75.52,Beauty,33
1177,Alice White,1996-09-02,2023-05-10,659.09,Home,30
1178,Bob Brown,1972-05-12,2023-10-09,619.08,Home,54
1179,Alice White,1997-06-13,2023-11-26,285.24,Clothing,29
1180,Tyler Lockwood,1982-10-08,2023-04-14,191.21,Clothing,44
1181,Stefan Salvatore,1965-03-11,2023-11-20,138.76,Beauty,61
1182,Stefan Salvatore,1966-11-30,2023-10-14,39.3,Clothing,60
1183,Bob Brown,1979-05-07,2023-10-24,478.3,Home,47
1184,Charlie Black,1987-03-16,2023-04-20,23.08,Groceries,39
1185,Bonnie Bennett,2007-04-07,2024-03-13,611.71,Home,19
1186,Charlie Black,1999-04-19,2023-05-17,244.8,Clothing,27
1187,Charlie Black,1982-05-11,2023-03-04,82.92,Groceries,44
1188,Matt Donovan,1970-08-03,2024-02-22,479.61,Home,56
1189,Matt Donovan,1964-06-24,2023-06-28,1046.9,Electronics,62
1190,Elena Gilbert,1984-09-17,2023-06-26,89.19,Beauty,42
1191,Elena Gilbert,1982-09-23,2024-01-05,79.7,Beauty,44
1192,John Doe,1988-02-29,2023-06-26,65.12,Groceries,38
1193,Tyler Lockwood,1969-01-11,2023-11-23,688.88,Electronics,57
1194,Damon Salvatore,1989-04-12,2023-02-01,95.62,Beauty,37
1195,Alaric Saltzman,1978-10-06,2024-02-28,112.42,Home,48
1196,Bob Brown,2006-10-30,2023-04-24,197.48,Home,20
1197,John Doe,2000-12-28,2023-12-25,404.64,Home,26
1198,Caroline Forbes,1989-09-15,2024-01-15,148.23,Electronics,37
1199,Tyler Lockwood,1976-09-02,2024-01-26,64.16,Beauty,50
1200,Bonnie Bennett,2005-06-10,2023-11-24,1619.84,Electronics,21
1201,Bob Brown,1975-11-28,2023-09-21,245.49,Clothing,51
1202,Stefan Salvatore,1994-05-11,2023-04-30,964.52,Home,32
1203,Alice White,1971-08-31,2024-02-02,23.64,Clothing,55
1204,Damon Salvatore,1975-09-30,2023-03-26,166.64,Home,51
1205,Bob Brown,1972-05-19,2023-07-07,269.95,Clothing,54
1206,Charlie Black,1989-02-13,2023-08-22,121.66,Clothing,37
1207,Damon Salvatore,1997-02-02,2023-09-18,64.36,Beauty,29
1208,Bonnie Bennett,1975-01-06,2024-03-03,951.03,Home,51
1209,Elena Gilbert,1964-05-26,2023-03-22,178.42,Clothing,62
1210,Matt Donovan,1962-07-31,2023-05-08,1021.08,Electronics,64
1211,John Doe,1995-02-14,2023-02-09,197.37,Clothing,31
1212,Damon Salvatore,1999-06-21,2023-10-05,450.62,Home,27
1213,Caroline Forbes,1979-11-10,2023-04-08,7.67,Beauty,47
1214,Jane Smith,1988-01-14,2023-12-22,620.7,Electronics,38
1215,John Doe,1971-09-29,2024-01-13,34.93,Groceries,55
1216,Caroline Forbes,1987-01-29,2023-11-09,617.54,Home,39
1217,Tyler Lockwood,1963-04-28,2024-01-29,126.53,Beauty,63
1218,Charlie Black,1980-08-20,2023-05-02,66.56,Clothing,46
1219,Matt Donovan,2007-04-19,2023-06-30,116.79,Groceries,19
1220,Alaric Saltzman,1987-06-03,2023-10-23,387.89,Home,39
1221,John Doe,1969-07-12,2023-08-15,131.06,Clothing,57
1222,Stefan Salvatore,1986-12-18,2023-11-08,612.83,Electronics,40
1223,Alice White,1989-07-12,2023-09-01,854.09,Home,37
1224,Matt Donovan,1963-08-14,2023-06-03,49.85,Clothing,63
1225,Bonnie Bennett,1969-02-12,2023-05-09,1439.36,Electronics,57
1226,Stefan Salvatore,1967-02-05,2023-02-08,828.15,Home,59
1227,Charlie Black,1964-09-11,2024-03-10,48.87,Clothing,62
1228,Charlie Black,1964-05-01,2024-03-20,1905.45,Electronics,62
1229,Damon Salvatore,1996-04-10,2023-03-21,745.61,Home,30
1230,Charlie Black,1991-07-24,2024-01-09,1816.39,Electronics,35
1231,Tyler Lockwood,1993-12-26,2024-02-14,1893.71,Electronics,33
1232,Caroline Forbes,1992-08-08,2024-02-05,179.02,Clothing,34
1233,Caroline Forbes,2001-05-27,2023-12-01,111.0,Beauty,25
1234,Bob Brown,2000-04-12,2023-08-03,73.76,Beauty,26
1235,Alice White,1969-11-18,2023-09-30,582.64,Home,57
1236,Alaric Saltzman,1974-10-20,2023-10-20,372.88,Home,52
1237,Damon Salvatore,1985-02-26,2023-02-08,1122.96,Electronics,41
1238,Elena Gilbert,1983-07-31,2023-06-10,94.3,Beauty,43
1239,Jane Smith,1973-09-11,2023-02-03,880.97,Home,53
1240,Alaric Saltzman,1990-11-20,2023-08-15,998.04,Home,36
1241,Alice White,1979-04-15,2023-09-02,95.99,Groceries,47
1242,Stefan Salvatore,1964-07-06,2024-01-12,45.68,Clothing,62
1243,Damon Salvatore,1988-12-21,2023-06-26,493.95,Home,38
1244,Stefan Salvatore,1978-04-09,2023-05-26,11.1,Beauty,48
1245,John Doe,1962-12-20,2024-02-03,844.1,Electronics,64
1246,Alice White,1996-08-19,2023-10-20,42.55,Beauty,30
1247,Tyler Lockwood,2002-05-02,2024-03-15,908.54,Home,24
1248,Jane Smith,1983-08-11,2023-02-21,38.59,Groceries,43
1249,Alice White,1979-12-26,2023-11-06,125.44,Beauty,47
1250,Caroline Forbes,1965-07-19,2023-11-09,30.28,Clothing,61
1251,Caroline Forbes,2005-06-03,2023-01-05,96.32,Beauty,21
1252,Damon Salvatore,1999-11-15,2023-01-20,167.01,Clothing,27
1253,Matt Donovan,1966-09-05,2023-12-04,392.4,Electronics,60
1254,Bob Brown,1970-06-05,2023-04-30,82.86,Beauty,56
1255,Bonnie Bennett,2004-02-29,2023-04-08,883.59,Home,22
1256,Bob Brown,1981-01-28,2023-05-17,957.87,Home,45
1257,Tyler Lockwood,1967-02-21,2023-02-09,1146.63,Electronics,59
1258,Matt Donovan,1974-10-27,2023-02-07,737.25,Home,52
1259,Caroline Forbes,1991-01-18,2023-11-12,134.7,Beauty,35
1260,Alaric Saltzman,1991-11-02,2023-02-09,74.69,Beauty,35
1261,Alaric Saltzman,2005-12-26,2023-02-09,172.26,Clothing,21
1262,Alaric Saltzman,1963-05-18,2023-09-19,874.75,Home,63
1263,Tyler Lockwood,1975-12-31,2023-02-28,734.62,Electronics,51
1264,Alaric Saltzman,1983-08-29,2023-06-19,94.7,Groceries,43
1265,Elena Gilbert,2001-10-11,2023-08-23,131.42,Beauty,25
1266,Bob Brown,1978-02-04,2024-03-01,249.59,Clothing,48
1267,Charlie Black,1979-01-19,2024-02-19,249.03,Clothing,47
1268,Alaric Saltzman,1980-02-15,2023-10-22,100.37,Clothing,46
1269,Matt Donovan,1968-02-13,2023-12-26,197.52,Clothing,58
1270,Stefan Salvatore,1963-09-21,2023-11-22,772.98,Home,63
1271,Caroline Forbes,1967-07-21,2023-11-15,96.73,Groceries,59
1272,Charlie Black,1979-05-25,2023-07-15,104.74,Groceries,47
1273,Jane Smith,2004-07-16,2023-07-11,1564.87,Electronics,22
1274,John Doe,1998-08-13,2023-01-22,40.91,Clothing,28
1275,Jane Smith,1994-08-15,2023-06-24,69.66,Beauty,32
1276,Matt Donovan,1974-02-21,2023-01-29,830.44,Home,52
1277,Bob Brown,1997-12-26,2023-01-26,96.62,Clothing,29
1278,Alaric Saltzman,2004-11-13,2024-02-01,410.89,Electronics,22
1279,Damon Salvatore,1979-09-23,2023-03-16,126.79,Groceries,47
1280,Alice White,1987-01-29,2023-07-14,1930.15,Electronics,39
1281,Stefan Salvatore,1981-02-05,2023-10-30,97.59,Beauty,45
1282,Elena Gilbert,1989-06-12,2023-02-27,110.04,Groceries,37
1283,Jane Smith,1973-04-14,2023-10-08,86.6,Groceries,53
1284,Tyler Lockwood,1993-01-27,2023-03-13,31.9,Groceries,33
1285,John Doe,1979-04-24,2023-01-08,852.54,Home,47
1286,Alice White,2001-03-09,2024-03-23,9.72,Groceries,25
1287,Tyler Lockwood,2006-01-05,2023-01-15,102.34,Electronics,20
1288,Damon Salvatore,1991-07-03,2023-12-06,85.97,Groceries,35
1289,Bonnie Bennett,1986-10-31,2024-01-21,985.13,Home,40
1290,John Doe,2000-05-20,2023-10-01,154.38,Clothing,26
1291,Elena Gilbert,1977-02-16,2023-10-28,1734.23,Electronics,49
1292,Elena Gilbert,1967-06-08,2023-08-02,149.68,Home,59
1293,John Doe,1997-01-07,2023-06-09,106.86,Groceries,29
1294,Caroline Forbes,1968-07-02,2023-12-19,169.59,Clothing,58
1295,Bonnie Bennett,1995-12-08,2023-04-26,131.14,Clothing,31
1296,Jane Smith,1970-03-07,2023-03-31,244.16,Clothing,56
1297,Jane Smith,1966-05-01,2023-12-26,168.01,Home,60
1298,Matt Donovan,2003-02-12,2023-09-19,198.75,Electronics,23
1299,Bonnie Bennett,1996-06-03,2023-11-24,195.09,Clothing,30
1300,Alice White,2001-11-29,2023-07-27,91.63,Groceries,25
1301,Elena Gilbert,1983-02-23,2023-05-07,411.6,Electronics,43
1302,Matt Donovan,1991-02-12,2023-03-28,28.13,Groceries,35
1303,Alaric Saltzman,1989-12-31,2023-08-26,112.92,Groceries,37
1304,Alaric Saltzman,1976-04-26,2023-10-27,25.84,Clothing,50
1305,Bob Brown,1987-01-19,2023-12-18,1037.23,Electronics,39
1306,Tyler Lockwood,1998-06-24,2023-02-04,15.47,Beauty,28
1307,John Doe,2001-03-26,2023-11-01,110.44,Beauty,25
1308,Alaric Saltzman,1984-05-08,2023-01-04,58.8,Groceries,42
1309,Alice White,1985-01-06,2023-06-26,599.74,Home,41
1310,Alice White,1974-07-15,2023-03-07,242.03,Clothing,52
1311,Damon Salvatore,1966-07-02,2024-01-06,275.46,Clothing,60
1312,Tyler Lockwood,2005-06-28,2023-01-18,111.3,Beauty,21
1313,Bob Brown,1983-02-18,2023-04-10,86.51,Clothing,43
1314,Jane Smith,1971-04-10,2024-02-26,68.39,Beauty,55
1315,Elena Gilbert,1994-07-07,2023-03-25,46.67,Clothing,32
1316,John Doe,1984-01-29,2023-03-07,673.9,Home,42
1317,John Doe,1968-09-18,2023-10-28,889.52,Home,58
1318,Elena Gilbert,1994-12-05,2023-04-03,207.43,Clothing,32
1319,Bonnie Bennett,2007-10-10,2023-10-03,951.15,Home,19
1320,Bonnie Bennett,1988-05-16,2023-05-01,749.58,Home,38
1321,Charlie Black,1996-09-10,2023-11-01,1440.23,Electronics,30
1322,Stefan Salvatore,1980-08-03,2024-01-25,83.29,Groceries,46
1323,Alice White,1994-10-16,2023-10-20,12.5,Groceries,32
1324,John Doe,1973-08-14,2023-09-02,350.35,Home,53
1325,John Doe,1995-02-11,2023-10-03,74.59,Beauty,31
1326,Matt Donovan,1965-10-27,2023-08-05,292.47,Clothing,61
1327,Damon Salvatore,1977-08-27,2024-03-02,115.94,Clothing,49
1328,Elena Gilbert,1988-09-26,2024-01-19,25.81,Beauty,38
1329,Jane Smith,1967-02-22,2023-12-07,1488.58,Electronics,59
1330,Alaric Saltzman,1976-03-06,2023-01-05,205.26,Clothing,50
1331,Damon Salvatore,1982-11-04,2023-05-25,263.29,Clothing,44
1332,Stefan Salvatore,1996-03-31,2023-12-11,103.09,Groceries,30
1333,Bob Brown,1977-10-08,2023-02-22,88.69,Beauty,49
1334,Tyler Lockwood,2006-08-12,2023-03-04,1746.23,Electronics,20
1335,Bonnie Bennett,1995-12-12,2023-09-02,46.86,Beauty,31
1336,Matt Donovan,2004-11-14,2024-01-16,101.8,Groceries,22
1337,Elena Gilbert,1974-12-08,2024-02-01,702.67,Electronics,52
1338,Alaric Saltzman,1997-10-16,2023-12-10,723.92,Electronics,29
1339,John Doe,1996-08-07,2023-05-23,60.16,Beauty,30
1340,Alaric Saltzman,1983-04-27,2023-08-12,944.4,Electronics,43
1341,Elena Gilbert,1982-06-04,2023-12-21,232.62,Clothing,44
1342,Bonnie Bennett,2005-11-27,2023-10-09,154.17,Clothing,21
1343,Charlie Black,1979-09-26,2023-06-02,26.6,Groceries,47
1344,Charlie Black,1993-04-29,2023-08-16,776.64,Home,33
1345,Elena Gilbert,1962-03-04,2024-01-14,67.32,Home,64
1346,Damon Salvatore,1965-03-31,2023-10-30,135.21,Beauty,61
1347,Bonnie Bennett,1972-08-09,2023-02-20,140.49,Groceries,54
1348,Elena Gilbert,1989-05-10,2023-11-30,94.52,Beauty,37
1349,Charlie Black,1963-02-04,2023-06-06,83.18,Groceries,63
1350,Caroline Forbes,1972-09-23,2023-05-26,96.33,Clothing,54
1351,Alice White,1982-03-18,2023-12-16,167.06,Home,44
1352,Tyler Lockwood,1999-01-14,2024-02-01,1177.89,Electronics,27
1353,Caroline Forbes,1972-12-06,2024-01-09,809.67,Electronics,54
1354,Alaric Saltzman,1967-01-14,2024-01-14,92.23,Beauty,59
1355,Elena Gilbert,1987-07-26,2023-08-08,1608.11,Electronics,39
1356,Caroline Forbes,1984-10-27,2023-05-05,272.01,Clothing,42
1357,John Doe,1982-03-16,2023-10-20,44.85,Groceries,44
1358,Bob Brown,1972-12-30,2023-06-16,246.67,Clothing,54
1359,Bob Brown,1972-07-01,2023-03-10,1500.06,Electronics,54
1360,Jane Smith,1975-11-01,2023-05-29,439.05,Electronics,51
1361,Charlie Black,1993-09-16,2023-01-11,91.93,Clothing,33
1362,Alaric Saltzman,1983-06-13,2023-11-16,617.19,Home,43
1363,Jane Smith,2006-01-09,2024-01-09,109.05,Beauty,20
1364,John Doe,1997-05-18,2023-07-07,623.06,Home,29
1365,Elena Gilbert,1966-05-18,2023-06-16,16.52,Beauty,60
1366,Stefan Salvatore,1971-03-13,2023-06-13,431.13,Home,55
1367,John Doe,2002-08-09,2023-09-26,1680.54,Electronics,24
1368,Tyler Lockwood,2004-01-25,2023-06-09,44.32,Beauty,22
1369,Stefan Salvatore,2005-04-26,2024-01-16,113.24,Clothing,21
1370,Elena Gilbert,2006-07-20,2023-06-21,121.62,Clothing,20
1371,Bob Brown,1974-05-18,2023-04-26,17.87,Groceries,52
1372,Charlie Black,1995-05-12,2023-10-30,423.91,Electronics,31
1373,Caroline Forbes,1978-10-29,2023-02-24,55.4,Groceries,48
1374,Tyler Lockwood,2001-02-18,2023-05-24,22.38,Beauty,25
1375,Bob Brown,1968-11-03,2023-01-05,139.42,Groceries,58
1376,Tyler Lockwood,2007-10-22,2023-10-13,18.47,Beauty,19
1377,Elena Gilbert,1990-07-08,2023-10-15,1256.12,Electronics,36
1378,Tyler Lockwood,1970-07-18,2023-05-22,48.95,Groceries,56
1379,Jane Smith,1963-12-27,2023-12-27,55.22,Beauty,63
1380,Bonnie Bennett,1999-03-28,2023-11-19,45.56,Groceries,27
1381,Caroline Forbes,2004-04-15,2023-09-19,796.96,Home,22
1382,Elena Gilbert,1971-06-30,2023-01-12,321.1,Electronics,55
1383,Jane Smith,1963-05-16,2023-06-07,263.06,Clothing,63
1384,Elena Gilbert,2005-03-21,2023-01-07,123.72,Groceries,21
1385,Charlie Black,1973-12-24,2023-12-13,82.61,Clothing,53
1386,Alice White,1990-06-13,2023-09-23,1192.81,Electronics,36
1387,Alaric Saltzman,1975-09-17,2023-04-05,1251.88,Electronics,51
1388,Elena Gilbert,1963-02-06,2023-05-21,22.66,Beauty,63
1389,Charlie Black,1975-02-03,2023-03-20,16.59,Groceries,51
